name,year,km,price
"
                        Chevrolet Beat                    ",2019,   73000 Kms. · Cuenca                 ,"
                         12.900
                        "
"
                        Faw Actis V80 Full                    ",2019,   12000 Kms. · Cuenca                 ,"
                         13.800
                        "
"
                        Suzuki GRAN VITARA SZ NEXT                    ",2016,   130000 Kms. · Cuenca                 ,"
                         16.900
                        "
"
                        Chevrolet Grand Vitara SZ Next                    ",2016,   130000 Kms. · Cuenca                 ,"
                         16.900
                        "
"
                        Chevrolet D-MAX CRDI FULL AC 3.0 CD 4X4                    ",2019,   38000 Kms. · Cuenca                 ,"
                         37.700
                        "
"
                        Nissan 1200                    ",1972,   10 Kms. · Cuenca                 ,"
                         5.850
                        "
"
                        Mercedes Benz C180 K                    ",2003,   160000 Kms. · Cuenca                 ,"
                         14.900
                        "
"
                        Mitsubishi L200                    ",2022,   8000 Kms. · Cuenca                 ,"
                         36.900
                        "
"
                        Mitsubishi L200                    ",2022,   8000 Kms. · Cuenca                 ,"
                         36.900
                        "
"
                        Mahindra Pick UP CS                    ",2013,   175000 Kms. · Cuenca                 ,"
                         10.300
                        "
"
                        Kia Rio                    ",2019,   60000 Kms. · Cuenca                 ,"
                         17.800
                        "
"
                        Kia Sportage R                    ",2015,   123000 Kms. · Cuenca                 ,"
                         20.300
                        "
"
                        Ford F150                    ",2013,   155000 Kms. · Cuenca                 ,"
                         23.900
                        "
"
                        Nissan Kicks                    ",2023,   8000 Kms. · Cuenca                 ,"
                         24.700
                        "
"
                        Hyundai i10                    ",2013,   95000 Kms. · Cuenca                 ,"
                         9.700
                        "
"
                        Chevrolet Aveo Activo                    ",2012,   138000 Kms. · Cuenca                 ,"
                         10.700
                        "
"
                        Hyundai Tucson                    ",2010,   146000 Kms. · Cuenca                 ,"
                         13.500
                        "
"
                        Chevrolet D-MAX 4X2 CD                    ",2006,   260000 Kms. · Cuenca                 ,"
                         12.900
                        "
"
                        Citroen C3                    ",2020,   64000 Kms. · Cuenca                 ,"
                         19.700
                        "
"
                        Gac GS3                    ",2022,   5600 Kms. · Cuenca                 ,"
                         21.800
                        "
"
                        Kia Sportage Europa                    ",2020,   11000 Kms. · Cuenca                 ,"
                         28.000
                        "
"
                        Porsche Cayenne                    ",2005,   150000 Kms. · Cuenca                 ,"
                         24.500
                        "
"
                        Chevrolet Aveo Activo                    ",2008,   212000 Kms. · Cuenca                 ,"
                         9.300
                        "
"
                        Honda CR-V                    ",2013,   131800 Kms. · Cuenca                 ,"
                         22.800
                        "
"
                        Hyundai Creta                    ",2017,   64000 Kms. · Cuenca                 ,"
                         19.500
                        "
"
                        Shineray SWM G01                    ",2022,   34000 Kms. · Cuenca                 ,"
                         18.000
                        "
"
                        Chevrolet Aveo Family                    ",2018,   87000 Kms. · Cuenca                 ,"
                         11.300
                        "
"
                        Hyundai Accent                    ",2013,   125000 Kms. · Cuenca                 ,"
                         13.500
                        "
"
                        Mitsubishi Montero 3P                    ",2002,   150000 Kms. · Cuenca                 ,"
                         17.500
                        "
"
                        Chevrolet Sail                    ",2019,   64000 Kms. · Cuenca                 ,"
                         12.800
                        "
"
                        Chevrolet Spark Life                    ",2019,   43000 Kms. · Cuenca                 ,"
                         9.900
                        "
"
                        Kia Cerato Forte                    ",2016,   86000 Kms. · Cuenca                 ,"
                         15.400
                        "
"
                        Citroen C-ELYSEE                    ",2023,   7000 Kms. · Quito                 ,"
                         17.900
                        "
"
                        Nissan X-Trail Advance                    ",2017,   54000 Kms. · Quito                 ,"
                         26.900
                        "
"
                        Nissan X-Trail                    ",2017,   54000 Kms. · Quito                 ,"
                         26.900
                        "
"
                        Renault Megane                    ",2006,   217000 Kms. · Quito                 ,"
                         7.900
                        "
"
                        Renault Megane II                    ",2006,   217000 Kms. · Quito                 ,"
                         7.900
                        "
"
                        Nissan X-Trail                    ",2019,   97000 Kms. · Quito                 ,"
                         33.400
                        "
"
                        Nissan X-Trail Exclusive                    ",2019,   97000 Kms. · Quito                 ,"
                         33.400
                        "
"
                        Nissan Pathfinder                    ",2006,   190000 Kms. · Quito                 ,"
                         13.990
                        "
"
                        Nissan Kicks                    ",2018,   61000 Kms. · Quito                 ,"
                         19.400
                        "
"
                        Toyota Sequoia                    ",2013,   127138 Kms. · Quito                 ,"
                         51.900
                        "
"
                        Toyota Fortuner 4.0                    ",2017,   86024 Kms. · Quito                 ,"
                         49.990
                        "
"
                        Chevrolet Grand Vitara SZ Next                    ",2016,   148000 Kms. · Quito                 ,"
                         16.800
                        "
"
                        Kia RIO EX                    ",2008,   148000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Kia Rio Xcite                    ",2008,   148000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Citroen DS3                    ",2014,   71000 Kms. · Quito                 ,"
                         18.900
                        "
"
                        Great Wall M4                    ",2017,   69000 Kms. · Quito                 ,"
                         13.400
                        "
"
                        Haval M4                    ",2017,   69000 Kms. · Quito                 ,"
                         13.400
                        "
"
                        Mazda CX-5 Full                    ",2018,   49000 Kms. · Quito                 ,"
                         30.900
                        "
"
                        Great Wall WINGLE                    ",2015,   130000 Kms. · Quito                 ,"
                         14.600
                        "
"
                        Mazda CX-5                    ",2018,   49000 Kms. · Quito                 ,"
                         30.900
                        "
"
                        Kia Rio                    ",2008,   148000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Porsche Cayenne Turbo                    ",2020,   21381 Kms. · Quito                 ,"
                         299.000
                        "
"
                        Volkswagen Tiguan                    ",2018,   59000 Kms. · Quito                 ,"
                         30.900
                        "
"
                        Great Wall C30 FULL LUXURY                    ",2020,   100000 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2007,   218409 Kms. · Quito                 ,"
                         10.990
                        "
"
                        Ford F150                    ",2012,   140000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Toyota C-HR                    ",2021,   11000 Kms. · Quito                 ,"
                         31.900
                        "
"
                        Ford F150 FX4                    ",2014,   125000 Kms. · Quito                 ,"
                         31.900
                        "
"
                        Chevrolet LUV V6 CD                    ",2003,   176000 Kms. · Quito                 ,"
                         12.300
                        "
"
                        BMW M2                    ",2019,   25453 Kms. · Quito                 ,"
                         125.900
                        "
"
                        Kia Optima                    ",2017,   70000 Kms. · Quito                 ,"
                         18.900
                        "
"
                        Hyundai Tucson TA                    ",2010,   180000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Hyundai Tucson                    ",2010,   180000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Citroen DS3                    ",2013,   24000 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Ford Explorer                    ",2018,   35000 Kms. · Quito                 ,"
                         49.900
                        "
"
                        Chevrolet Spark Life                    ",2019,   43000 Kms. · Cuenca                 ,"
                         9.900
                        "
"
                        Kia Cerato Forte                    ",2016,   86000 Kms. · Cuenca                 ,"
                         15.400
                        "
"
                        Chevrolet Cavalier                    ",2019,   60125 Kms. · Cuenca                 ,"
                         17.500
                        "
"
                        Chevrolet Spark GT                    ",2019,   60125 Kms. · Cuenca                 ,"
                         13.800
                        "
"
                        Chevrolet D-MAX CRDI FULL AC 3.0 CD 4X4                    ",2019,   60000 Kms. · Cuenca                 ,"
                         37.800
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2009,   240344 Kms. · Cuenca                 ,"
                         12.800
                        "
"
                        Chevrolet Grand Vitara SZ                    ",2009,   207968 Kms. · Cuenca                 ,"
                         12.800
                        "
"
                        Kia SPORTAGE GT LINE AT                    ",2019,   53000 Kms. · Cuenca                 ,"
                         32.800
                        "
"
                        Kia Sportage R                    ",2019,   28000 Kms. · Cuenca                 ,"
                         23.990
                        "
"
                        Chevrolet D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL                    ",2018,   58000 Kms. · Cuenca                 ,"
                         36.500
                        "
"
                        Chevrolet D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL                    ",2018,   55000 Kms. · Cuenca                 ,"
                         36.500
                        "
"
                        Chevrolet D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL                    ",2019,   38000 Kms. · Cuenca                 ,"
                         37.700
                        "
"
                        Chevrolet D-MAX CRDI FULL AC 3.0 CD 4X4                    ",2019,   38000 Kms. · Cuenca                 ,"
                         10.000
                        "
"
                        Ford Ranger CD                    ",2004,   181120 Kms. · Cuenca                 ,"
                         13.800
                        "
"
                        Jetour X70 I MT 1.5T                    ",2023,   9000 Kms. · Cuenca                 ,"
                         22.900
                        "
"
                        Mazda CX-5                    ",2014,   104000 Kms. · Cuenca                 ,"
                         21.800
                        "
"
                        Chevrolet Aveo Emotion GLS                    ",2013,   192000 Kms. · Cuenca                 ,"
                         11.800
                        "
"
                        Chevrolet Trooper 5P                    ",2001,   359000 Kms. · Cuenca                 ,"
                         8.800
                        "
"
                        Volkswagen Amarok TDI                    ",2017,   100088 Kms. · Cuenca                 ,"
                         30.800
                        "
"
                        Mazda CX7                    ",2008,   131000 Kms. · Cuenca                 ,"
                         12.900
                        "
"
                        Toyota COROLLA HV SEG AC                    ",2021,   31232 Kms. · Cuenca                 ,"
                         27.900
                        "
"
                        Hyundai Accent                    ",2018,   92000 Kms. · Cuenca                 ,"
                         16.900
                        "
"
                        Chevrolet Corsa Evolution                    ",2007,   94517 Kms. · Cuenca                 ,"
                         9.500
                        "
"
                        Kia SPORTAGE SL                    ",2019,   200000 Kms. · Cuenca                 ,"
                         23.990
                        "
"
                        Great Wall Haval M4                    ",2021,   34000 Kms. · Cuenca                 ,"
                         16.700
                        "
"
                        Chevrolet Aveo Family                    ",2014,   134000 Kms. · Cuenca                 ,"
                         10.800
                        "
"
                        Chevrolet D-MAX TM 3.0 4X4 DIESEL                    ",2013,   233 Kms. · Cuenca                 ,"
                         22.500
                        "
"
                        Chevrolet Grand Vitara 5P 4X4                    ",2007,   177000 Kms. · Cuenca                 ,"
                         12.500
                        "
"
                        Volkswagen Gol Plus                    ",2014,   77800 Kms. · Cuenca                 ,"
                         13.900
                        "
"
                        Chevrolet Aveo Family                    ",2018,   132886 Kms. · Cuenca                 ,"
                         12.500
                        "
"
                        Chevrolet Aveo Activo                    ",2006,   280324 Kms. · Cuenca                 ,"
                         8.200
                        "
"
                        Chevrolet Aveo Family                    ",2015,   103027 Kms. · Cuenca                 ,"
                         10.900
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2012,   100000 Kms. · Cuenca                 ,"
                         13.500
                        "
"
                        Chevrolet D-Max 4x4 CD                    ",2017,   170000 Kms. · Cuenca                 ,"
                         29.800
                        "
"
                        Fiat Fullback                    ",2018,   125000 Kms. · Cuenca                 ,"
                         29.800
                        "
"
                        Ford Explorer XLT                    ",2018,   35000 Kms. · Quito                 ,"
                         49.900
                        "
"
                        Toyota Fortuner 4.0                    ",2015,   177673 Kms. · Quito                 ,"
                         36.990
                        "
"
                        Mercedes Benz C63 AMG                    ",2009,   22967 Kms. · Quito                 ,"
                         69.900
                        "
"
                        Mercedes Benz GLC 250                    ",2019,   20750 Kms. · Quito                 ,"
                         74.900
                        "
"
                        Nissan X-Trail Sense                    ",2018,   72000 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Nissan X-Trail                    ",2018,   72000 Kms. · Quito                 ,"
                         24.900
                        "
"
                        Great Wall Wingle 5 AC CD 4X2                    ",2019,   110040 Kms. · Quito                 ,"
                         16.900
                        "
"
                        Chevrolet Vitara 5P                    ",1997,   140000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Chevrolet Vitara 3P                    ",1997,   140000 Kms. · Quito                 ,"
                         10.900
                        "
"
                        Kia RIO EX                    ",2007,   78000 Kms. · Quito                 ,"
                         9.990
                        "
"
                        Hyundai Ioniq Hybrid                    ",2019,   30000 Kms. · Quito                 ,"
                         18.990
                        "
"
                        Suzuki Grand Vitara SZ                    ",2019,   79072 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Ford Escape Limited Edition                    ",2012,   151000 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Ford Escape                    ",2012,   151000 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Jeep Wrangler                    ",1994,   126000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Jeep Wrangler Sport                    ",1994,   126000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        JAC HFC 1037DEV                    ",2022,   15400 Kms. · Quito                 ,"
                         20.900
                        "
"
                        Peugeot Partner                    ",2018,   137000 Kms. · Quito                 ,"
                         17.600
                        "
"
                        JAC T8                    ",2022,   16000 Kms. · Quito                 ,"
                         29.500
                        "
"
                        Mazda 6                    ",2017,   90000 Kms. · Quito                 ,"
                         23.900
                        "
"
                        Toyota COROLLA HV SEG AC                    ",2022,   22000 Kms. · Quito                 ,"
                         27.900
                        "
"
                        Nissan Murano                    ",2009,   158000 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Kia Grand Carnival                    ",2016,   75000 Kms. · Quito                 ,"
                         27.900
                        "
"
                        Great Wall Haval M4                    ",2019,   73643 Kms. · Quito                 ,"
                         13.900
                        "
"
                        Toyota Highlander Hibrido                    ",2009,   223902 Kms. · Quito                 ,"
                         17.500
                        "
"
                        Nissan X-Trail Xtreme                    ",2011,   175000 Kms. · Quito                 ,"
                         14.900
                        "
"
                        BMW 330e                    ",2022,   2029 Kms. · Quito                 ,"
                         69.500
                        "
"
                        BMW 430i xDrive                    ",2018,   15643 Kms. · Quito                 ,"
                         79.900
                        "
"
                        Nissan X-Trail Classic                    ",2011,   175000 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Mercedes Benz A35                    ",2020,   4300 Kms. · Quito                 ,"
                         93.900
                        "
"
                        Ford F150 SC AC3.7 CD 4X2 TA                    ",2014,   140000 Kms. · Quito                 ,"
                         25.200
                        "
"
                        Volkswagen T-CROSS CONFORTLINE AC                    ",2021,   57087 Kms. · Quito                 ,"
                         26.000
                        "
"
                        Mitsubishi Montero 3P                    ",2003,   105000 Kms. · Quito                 ,"
                         22.900
                        "
"
                        Shineray SWM G01                    ",2022,   12000 Kms. · Quito                 ,"
                         19.950
                        "
"
                        Citroen C3                    ",2019,   25000 Kms. · Quito                 ,"
                         22.900
                        "
"
                        Ford F150 Flareside                    ",1992,   196158 Kms. · Cuenca                 ,"
                         12.500
                        "
"
                        Chevrolet Optra                    ",2007,   100000 Kms. · Cuenca                 ,"
                         9.000
                        "
"
                        Ford F150 CS 4x4                    ",2010,   205087 Kms. · Cuenca                 ,"
                         13.900
                        "
"
                        Chevrolet D-MAX CRDI  3.0 CD 4X2  DIESEL                    ",2018,   149100 Kms. · Cuenca                 ,"
                         25.900
                        "
"
                        Ford Edge                    ",2014,   97293 Kms. · Cuenca                 ,"
                         22.900
                        "
"
                        Chevrolet LUV D-MAX CD OPTIMA                    ",2007,   187886 Kms. · Cuenca                 ,"
                         12.900
                        "
"
                        Ford F150 Lariat                    ",2018,   1 Kms. · Cuenca                 ,"
                         69.800
                        "
"
                        Ford F150 FX4                    ",2018,   1 Kms. · Cuenca                 ,"
                         69.800
                        "
"
                        Ford F150 DC 4X4                    ",2018,   1 Kms. · Cuenca                 ,"
                         69.800
                        "
"
                        Kia Sportage R                    ",2011,   164335 Kms. · Cuenca                 ,"
                         19.800
                        "
"
                        Chevrolet Tracker                    ",2022,   3106 Kms. · Cuenca                 ,"
                         25.000
                        "
"
                        Great Wall Haval H2                    ",2022,   16836 Kms. · Cuenca                 ,"
                         23.500
                        "
"
                        Great Wall Wingle 7 Diesel                    ",2018,   151713 Kms. · Cuenca                 ,"
                         18.900
                        "
"
                        Chevrolet Sail                    ",2013,   163585 Kms. · Cuenca                 ,"
                         10.500
                        "
"
                        Chevrolet D-MAX CRDI  3.0 CD 4X2  DIESEL                    ",2013,   169082 Kms. · Cuenca                 ,"
                         20.300
                        "
"
                        JAC T6                    ",2019,   73718 Kms. · Cuenca                 ,"
                         23.500
                        "
"
                        Peugeot 3008 Allure                    ",2019,   40000 Kms. · Cuenca                 ,"
                         30.900
                        "
"
                        Toyota Fortuner 2.7                    ",2018,   68000 Kms. · Cuenca                 ,"
                         42.500
                        "
"
                        Toyota Fortuner 2.7                    ",2018,   68000 Kms. · Cuenca                 ,"
                         42.500
                        "
"
                        Chevrolet Aveo Emotion GLS                    ",2017,   83000 Kms. · Cuenca                 ,"
                         13.500
                        "
"
                        Suzuki GRAN VITARA SZ NEXT                    ",2018,   86052 Kms. · Cuenca                 ,"
                         19.500
                        "
"
                        Mitsubishi L200                    ",2007,   290000 Kms. · Cuenca                 ,"
                         19.500
                        "
"
                        Toyota RAV 4                    ",2019,   105000 Kms. · Cuenca                 ,"
                         32.800
                        "
"
                        Chevrolet ONIX LTZ TURBO                    ",2022,   450 Kms. · Cuenca                 ,"
                         21.800
                        "
"
                        Ford Edge                    ",2018,   77000 Kms. · Cuenca                 ,"
                         38.800
                        "
"
                        Chevrolet Captiva                    ",2020,   77000 Kms. · Cuenca                 ,"
                         20.900
                        "
"
                        Ford F150 4X4                    ",2016,   1 Kms. · Cuenca                 ,"
                         55.800
                        "
"
                        Volkswagen Tiguan                    ",2019,   73000 Kms. · Cuenca                 ,"
                         33.800
                        "
"
                        Ford F150 FX4                    ",2016,   1 Kms. · Cuenca                 ,"
                         55.800
                        "
"
                        Toyota FJ Cruiser                    ",2007,   140000 Kms. · Cuenca                 ,"
                         36.500
                        "
"
                        Ford F150 DC 4X4                    ",2016,   1 Kms. · Cuenca                 ,"
                         55.800
                        "
"
                        Ford F150 Lariat                    ",2016,   1 Kms. · Cuenca                 ,"
                         55.800
                        "
"
                        Chevrolet Grand Vitara 5P 4X4                    ",2007,   166378 Kms. · Cuenca                 ,"
                         12.800
                        "
"
                        Chevrolet D-MAX 4X2 CS                    ",2006,   197000 Kms. · Cuenca                 ,"
                         11.800
                        "
"
                        Ford RANGER XL                    ",2019,   97731 Kms. · Cuenca                 ,"
                         35.500
                        "
"
                        Chevrolet LUV D-MAX TM 3.0 4X4 DIESEL CD                    ",2012,   147458 Kms. · Cuenca                 ,"
                         22.800
                        "
"
                        Ram 700 LARAMIE                    ",2022,   1500 Kms. · Cuenca                 ,"
                         16.900
                        "
"
                        Toyota FJ Cruiser TRD                    ",2007,   140000 Kms. · Cuenca                 ,"
                         36.500
                        "
"
                        Mitsubishi Sportero L200 Triton                    ",2021,   41000 Kms. · Cuenca                 ,"
                         41.500
                        "
"
                        Peugeot 3008 Allure                    ",2022,   11000 Kms. · Cuenca                 ,"
                         36.990
                        "
"
                        Nissan X-Trail Classic                    ",2011,   215628 Kms. · Cuenca                 ,"
                         13.500
                        "
"
                        Honda CR-V                    ",2002,   272869 Kms. · Cuenca                 ,"
                         8.900
                        "
"
                        Peugeot 2008                    ",2020,   38164 Kms. · Cuenca                 ,"
                         21.200
                        "
"
                        Chevrolet Grand Vitara 3P                    ",2007,   147832 Kms. · Cuenca                 ,"
                         11.800
                        "
"
                        Chevrolet Grand Vitara 3P                    ",2009,   203690 Kms. · Cuenca                 ,"
                         12.500
                        "
"
                        Hyundai Ioniq Hybrid                    ",2017,   148768 Kms. · Cuenca                 ,"
                         16.200
                        "
"
                        Peugeot 3008 Allure                    ",2019,   41000 Kms. · Cuenca                 ,"
                         30.900
                        "
"
                        Kia Cerato                    ",2015,   120113 Kms. · Cuenca                 ,"
                         15.500
                        "
"
                        Chevrolet Beat                    ",2022,   25041 Kms. · Cuenca                 ,"
                         14.800
                        "
"
                        Chevrolet Spark GT                    ",2018,   90000 Kms. · Cuenca                 ,"
                         12.800
                        "
"
                        Chevrolet Tracker LS                    ",2020,   68000 Kms. · Cuenca                 ,"
                         22.300
                        "
"
                        Chevrolet D-MAX CRDI FULL AC 3.0 CD 4X4 TM DIESEL                    ",2018,   95099 Kms. · Cuenca                 ,"
                         29.800
                        "
"
                        Hyundai Accent                    ",2018,   90241 Kms. · Cuenca                 ,"
                         15.800
                        "
"
                        Ford Explorer XLT                    ",2016,   92598 Kms. · Cuenca                 ,"
                         45.500
                        "
"
                        Toyota Prius C Sport                    ",2020,   24000 Kms. · Cuenca                 ,"
                         20.900
                        "
"
                        Hyundai Ioniq Hybrid                    ",2018,   117000 Kms. · Cuenca                 ,"
                         17.300
                        "
"
                        Hyundai Santa Fe 4x2                    ",2012,   145500 Kms. · Cuenca                 ,"
                         16.800
                        "
"
                        Chevrolet Beat                    ",2022,   2500 Kms. · Cuenca                 ,"
                         14.500
                        "
"
                        Great Wall Haval M4                    ",2018,   8500 Kms. · Cuenca                 ,"
                         14.800
                        "
"
                        Chevrolet Aveo Family                    ",2017,   87000 Kms. · Cuenca                 ,"
                         12.300
                        "
"
                        Chevrolet Trailblazer                    ",2004,   226302 Kms. · Cuenca                 ,"
                         8.800
                        "
"
                        Polaris 570 RZR                    ",2013,   20000 Kms. · Cuenca                 ,"
                         8.800
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2011,   144230 Kms. · Cuenca                 ,"
                         13.800
                        "
"
                        Toyota NEW RAV4 AC 2.0 5P                    ",2017,   140000 Kms. · Cuenca                 ,"
                         25.800
                        "
"
                        Chevrolet D-MAX 4X2 CD                    ",2018,   115000 Kms. · Cuenca                 ,"
                         26.300
                        "
"
                        Jeep Wrangler                    ",2011,   1 Kms. · Cuenca                 ,"
                         48.900
                        "
"
                        Jeep Wrangler Sahara                    ",2011,   1 Kms. · Cuenca                 ,"
                         48.900
                        "
"
                        Mitsubishi Montero 5P                    ",1998,   255000 Kms. · Cuenca                 ,"
                         8.800
                        "
"
                        Hyundai Santa Fe 4x2                    ",2015,   137000 Kms. · Cuenca                 ,"
                         25.800
                        "
"
                        Ford RAPTOR                    ",2018,   1 Kms. · Cuenca                 ,"
                         92.800
                        "
"
                        Hyundai GRAN I10                    ",2022,   10000 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Citroen C3                    ",2019,   25000 Kms. · Quito                 ,"
                         22.900
                        "
"
                        Mercedes Benz A45 AMG S                    ",2021,   8069 Kms. · Quito                 ,"
                         109.990
                        "
"
                        Fiat Palio                    ",2005,   267702 Kms. · Quito                 ,"
                         7.900
                        "
"
                        Great Wall H6                    ",2018,   81000 Kms. · Quito                 ,"
                         19.900
                        "
"
                        Mitsubishi Montero Blister                    ",2006,   110000 Kms. · Quito                 ,"
                         22.900
                        "
"
                        Chevrolet Captiva Premier                    ",2022,   7000 Kms. · Quito                 ,"
                         25.900
                        "
"
                        Suzuki GRAN VITARA SZ NEXT                    ",2017,   140000 Kms. · Quito                 ,"
                         15.900
                        "
"
                        Mazda Speed 3                    ",2017,   88000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Soueast DX3                    ",2022,   5000 Kms. · Quito                 ,"
                         18.300
                        "
"
                        Ford Ranger                    ",2021,   40000 Kms. · Quito                 ,"
                         41.900
                        "
"
                        Citroen C3 Aircross                    ",2019,   25000 Kms. · Quito                 ,"
                         22.900
                        "
"
                        Mazda 3                    ",2017,   88000 Kms. · Quito                 ,"
                         21.900
                        "
"
                        Chevrolet Captiva                    ",2022,   7000 Kms. · Quito                 ,"
                         25.900
                        "
"
                        DFSK C37                    ",2019,   121063 Kms. · Quito                 ,"
                         14.900
                        "
"
                        Ford Focus                    ",2015,   70000 Kms. · Quito                 ,"
                         17.900
                        "
"
                        Kia Sportage GT                    ",2017,   74000 Kms. · Quito                 ,"
                         26.900
                        "
"
                        Kia SPORTAGE GT LINE AT                    ",2017,   74000 Kms. · Quito                 ,"
                         26.900
                        "
"
                        Chevrolet D-MAX                    ",2005,   280000 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Mazda BT-50                    ",2011,   2000009 Kms. · Quito                 ,"
                         9.900
                        "
"
                        Chevrolet Trailblazer                    ",2008,   120000 Kms. · Quito                 ,"
                         14.600
                        "
"
                        Hyundai Veracruz                    ",2008,   2000002 Kms. · Quito                 ,"
                         11.900
                        "
"
                        Volkswagen New Jetta                    ",2014,   172946 Kms. · Quito                 ,"
                         12.900
                        "
"
                        Great Wall M4 Luxury                    ",2017,   69000 Kms. · Quito                 ,"
                         13.400
                        "
"
                        Great Wall M4                    ",2017,   69000 Kms. · Quito                 ,"
                         13.400
                        "
"
                        Kia PICANTO LX                    ",2019,   51000 Kms. · Quito                 ,"
                         13.300
                        "
"
                        Peugeot 206                    ",2008,   150000 Kms. · Quito                 ,"
                         7.900
                        "
"
                        Mazda CX-5 Full                    ",2018,   49000 Kms. · Quito                 ,"
                         30.900
                        "
"
                        Peugeot 206 XT                    ",2008,   150000 Kms. · Quito                 ,"
                         7.900
                        "
"
                        Mazda CX-5                    ",2018,   49000 Kms. · Quito                 ,"
                         30.900
                        "
"
                        Chevrolet ONIX LTZ TURBO                    ",2021,   35000 Kms. · Quito                 ,"
                         17.900
                        "
"
                        Volkswagen Gol Sport                    ",2003,   362860 Kms. · Quito                 ,"
                         7.900
                        "
"
                        Audi A1                    ",2015,   84000 Kms. · Quito                 ,"
                         23.900
                        "
"
                        Audi A3                    ",2015,   84000 Kms. · Quito                 ,"
                         23.900
                        "
"
                        Chevrolet Trailblazer                    ",2005,   127000 Kms. · Quito                 ,"
                         10.500
                        "
"
                        Peugeot 3008                    ",2019,   1 Kms. · Cuenca                 ,"
                         31.800
                        "
"
                        Jeep Wrangler Unlimited Sahara                    ",2011,   121000 Kms. · Cuenca                 ,"
                         48.900
                        "
"
                        Hyundai Accent                    ",2017,   75000 Kms. · Cuenca                 ,"
                         17.400
                        "
"
                        Kia SPORTAGE SL                    ",2019,   65000 Kms. · Cuenca                 ,"
                         25.000
                        "
"
                        Chevrolet D-MAX DOHC 2.4                    ",2015,   135867 Kms. · Cuenca                 ,"
                         22.800
                        "
"
                        Mitsubishi Montero Blister                    ",2008,   270000 Kms. · Cuenca                 ,"
                         23.800
                        "
"
                        Hyundai Ioniq Hybrid                    ",2017,   81403 Kms. · Cuenca                 ,"
                         17.000
                        "
"
                        Toyota FJ Cruiser TRD                    ",2007,   140000 Kms. · Cuenca                 ,"
                         36.900
                        "
"
                        Kia PICANTO LX                    ",2019,   69157 Kms. · Cuenca                 ,"
                         13.300
                        "
"
                        Chevrolet Grand Vitara 3P Sport                    ",2010,   178614 Kms. · Cuenca                 ,"
                         13.800
                        "
"
                        Suzuki Grand Vitara SZ                    ",2018,   95424 Kms. · Cuenca                 ,"
                         18.800
                        "
"
                        Hyundai Tucson IX                    ",2015,   105748 Kms. · Cuenca                 ,"
                         20.900
                        "
"
                        Chevrolet Aveo Emotion Advance                    ",2013,   112269 Kms. · Cuenca                 ,"
                         13.800
                        "
"
                        Chevrolet Grand Vitara 5p 4x2                    ",2013,   141253 Kms. · Cuenca                 ,"
                         13.800
                        "
"
                        Hyundai Tiburón                    ",2006,   72735 Kms. · Cuenca                 ,"
                         21.000
                        "
"
                        Great Wall WINGLE STEED 2.4 CD 4X2 TM                    ",2020,   58870 Kms. · Cuenca                 ,"
                         19.800
                        "
"
                        Chevrolet Spark GT                    ",2022,   22587 Kms. · Cuenca                 ,"
                         13.900
                        "
"
                        Mitsubishi Outlander                    ",2010,   183000 Kms. · Cuenca                 ,"
                         15.000
                        "
"
                        Suzuki Grand Vitara SZ 2.4                    ",2016,   93000 Kms. · Cuenca                 ,"
                         17.000
                        "
"
                        Toyota Prius C Sport                    ",2017,   89000 Kms. · Cuenca                 ,"
                         15.900
                        "
