name,year,km,price
"
                        Toyota Innova                    ",2018,   68806 Kms. · Guayaquil                 ,"
                         26.500
                        "
"
                        Hyundai Santa Fe 4x2                    ",2012,   100000 Kms. · Guayaquil                 ,"
                         26.900
                        "
"
                        Hyundai Santa Fe                    ",2017,   35800 Kms. · Guayaquil                 ,"
                         29.880
                        "
"
                        Toyota NEW HILUX 2.4 CD 4X4                    ",2018,   1 Kms. · Guayaquil                 ,"
                         48.800
                        "
"
                        Ford Ranger                    ",2017,   80000 Kms. · Guayaquil                 ,"
                         49.000
                        "
"
                        Suzuki S-Cross                    ",2018,   122762 Kms. · Guayaquil                 ,"
                         18.800
                        "
"
                        Nissan X-Trail                    ",2009,   344052 Kms. · Guayaquil                 ,"
                         11.200
                        "
"
                        Chevrolet D-MAX CRDI  3.0 CD 4X2  DIESEL                    ",2019,   87658 Kms. · Guayaquil                 ,"
                         25.800
                        "
"
                        Suzuki S-Cross                    ",2018,   60239 Kms. · Guayaquil                 ,"
                         18.500
                        "
"
                        JAC HFC 1037 DKST                    ",2020,   76936 Kms. · Guayaquil                 ,"
                         22.800
                        "
"
                        Kia SPORTAGE SL                    ",2018,   120861 Kms. · Guayaquil                 ,"
                         21.800
                        "
"
                        Chevrolet Tracker LS                    ",2020,   23162 Kms. · Guayaquil                 ,"
                         21.200
                        "
"
                        Chery Arrizo 3                    ",2021,   1 Kms. · Guayaquil                 ,"
                         12.200
                        "
"
                        Volkswagen Voyage                    ",2016,   85876 Kms. · Guayaquil                 ,"
                         13.200
                        "
"
                        Audi A4 1.8T                    ",2012,   130000 Kms. · Guayaquil                 ,"
                         21.000
                        "
"
                        Ford Territory                    ",2021,   33000 Kms. · Guayaquil                 ,"
                         35.000
                        "
"
                        Hyundai Creta                    ",2022,   17587 Kms. · Guayaquil                 ,"
                         27.500
                        "
"
                        Chevrolet Spark                    ",2019,   115244 Kms. · Guayaquil                 ,"
                         12.200
                        "
"
                        Changan Alsvin V3                    ",2020,   10858 Kms. · Guayaquil                 ,"
                         15.800
                        "
