name,model,version,year,km,city,province,price
Chevrolet,Tracker,1.8L LS TM,2018,77000 km,Quito | ,Pichincha,u$s18.500
Jeep,WILLYS,2003,1962,230000 km,Quito | ,Pichincha,u$s9.000
Chevrolet,Grand Vitara,5P 4x4 2.0i,2005,250000 km,Biblian | ,Cañar,u$s10.499
Mazda,CX-3,2.0L Sport,2021,14600 km,Quito | ,Pichincha,u$s30.900
Great Wall,C30 ,Confort,2019,50000 km,Quito | ,Pichincha,u$s12.300
Volkswagen,Jetta,2.0 GL,2012,196000 km,Samborondon | ,Guayas,u$s10.000
Chevrolet,Grand Vitara,5P Sport 4x4,2013,215194 km,Guayaquil | ,Guayas,u$s12.500
JAC,T6,2.0L Luxury 4x2,2022,9800 km,General Antonio Elizalde (Bucay) | ,Guayas,u$s21.000
Shineray,X30 Pasajeros,1.5L,2020,13000 km,Quito | ,Pichincha,u$s14.500
Kia,Sorento,3.3L 4x2 Aut,2018,90000 km,Guayaquil | ,Guayas,u$s29.000
Chevrolet,Grand Vitara,5P 4x4 2.5i,2007,206000 km,San Miguel De Los Bancos | ,Pichincha,u$s11.000
Chevrolet,Sail Sedán,1.5L,2018,40400 km,Guayaquil | ,Guayas,u$s14.300
Great Wall,C30 ,Plus,2019,51000 km,Quito | ,Pichincha,u$s12.300
Hyundai,Tucson,2.0L Premium TA 4x2,2011,232280 km,Guayaquil | ,Guayas,u$s15.000
Soueast,DX3,1.5L A/T,2019,76000 km,Quito | ,Pichincha,u$s18.000
FIAT,Palio,Weekend,2006,240100 km,Manta | ,Manabí,u$s6.500
Volkswagen,Gol,1.6 Power,2011,141000 km,Ambato | ,Tungurahua,u$s10.000
Haval,H6 Sport,1.5L Turbo,2019,53000 km,Quito | ,Pichincha,u$s18.000
Skoda,Superb,1.9 TDI 105 CV,2008,392000 km,Guayaquil | ,Guayas,u$s7.500
Chevrolet,Grand Vitara,3P,2008,200000 km,Manta | ,Manabí,u$s10.400
Toyota,Dyna,"Version Sin Siglas L4,3.7i,8v S 1 3",1998,115865 km,Lago Agrio | ,Sucumbios,u$s7.800
Peugeot,308,1.6 308 CC,2005,137000 km,Ambato | ,Tungurahua,u$s16.000
Hyundai,Tucson,2.0L Entry TM,2021,22000 km,Manta | ,Manabí,u$s30.800
Hyundai,Creta ,1.6L GL,2018,56435 km,Riobamba | ,Chimborazo,u$s22.000
Kia,Stylus LSX,lsx,2005,192625 km, Duran | ,Guayas,u$s7.500
Hyundai,Accent,1.6 Ac,2013,168900 km, Santa Ana | ,Manabí,u$s12.000
Mitsubishi,Outlander,2.0L GLX,2021,15000 km,El Guabo | ,El Oro,u$s25.500
Chevrolet,Corsa Hatchback,5P 1.4L,2002,277000 km,Quito | ,Pichincha,u$s6.600
Haval,H6,2.0L 4x2 Aut,2018,97000 km,Quito | ,Pichincha,u$s17.000
Foton,Tunland,C 4x4 DC,2019,73000 km,Ambato | ,Tungurahua,u$s22.487
Chery,Arrizo 3,Confort,2022,18000 km,Salinas | ,Santa Elena,u$s28.000
Chevrolet,D-Max,3.0L CD 4x4 Full CRDi,2017,137000 km,Guayaquil | ,Guayas,u$s30.000
Soueast,DX7,1.5L,2019,86000 km,Machala | ,El Oro,u$s20.000
Ford,Expedition,XLT 4x4,2013,169000 km,Manta | ,Manabí,u$s39.000
Soueast,DX3,1.5L,2021,15020 km,Guayaquil | ,Guayas,u$s20.000
JAC,T6,2.0L Inter 4x2,2013,252000 km,Ambato | ,Tungurahua,u$s12.500
Nissan,Frontier,4x2 CD,2015,132668 km,Quito | ,Pichincha,u$s21.000
Chevrolet,Corsa Sedán,1.4 L AC,2007,400000 km,Guayaquil | ,Guayas,u$s7.900
Nissan,Frontier,4x2 CD,2004,57574 km,Quito | ,Pichincha,u$s9.000
Hyundai,Creta ,1.6L Full TM,2018,68000 km,Guayaquil | ,Guayas,u$s21.000
Volkswagen,Jetta,2.0 GLS,2009,195000 km,Quito | ,Pichincha,u$s10.700
Kia,Rio,R 1.4L 4P,2019,41000 km,Quevedo | ,Los Rios,u$s15.500
